acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.084,['Kid Cudi'],0.712,193293,0.556,1,30KctD1WsHKTIYczXjip5a,5.04E-05,5,0.527,-7.214,0,Tequila Shots,83,12/11/20,0.0531,90.494,0.22,2020
0.0614,"['DDG', 'Blueface']",0.928,170233,0.341,1,7o4gBbTM6UBLkOYPw9xMCz,0,11,0.162,-10.196,0,Moonwalking in Calabasas (feat. Blueface) - Remix,83,12/2/20,0.103,129.966,0.745,2020
0.0421,"['Future', 'Lil Uzi Vert']",0.752,213520,0.658,1,0k7wmahjkn389wAZdz19Cv,0,0,0.0927,-6.297,1,Drankin N Smokin,83,11/13/20,0.342,151.951,0.387,2020
0.279,['Brent Faiyaz'],0.505,247080,0.267,1,5VlTQnZO89Ioku8ssdbqJk,0,9,0.096,-13.763,0,Dead Man Walking,83,9/18/20,0.05,143.929,0.439,2020
0.0417,['Juice WRLD'],0.706,242181,0.625,1,5dOxHHMOFAbG3VH23t0xNm,0,0,0.129,-7.426,1,Righteous,83,7/10/20,0.0314,142.948,0.225,2020
0.291,"['Juice WRLD', 'Marshmello', 'The Kid LAROI', 'Polo G']",0.701,160212,0.65,1,0ada5XsQGLPUVbmTCkAP49,0,6,0.112,-6.313,1,Hate The Other Side (with Marshmello & The Kid Laroi),83,7/10/20,0.104,90.003,0.647,2020
0.43,"['Kid Cudi', 'Skepta', 'Pop Smoke']",0.619,174960,0.589,1,5CFJRZRq6sdKKtRwNPWbYv,0.000392,1,0.378,-6.531,1,Show Out (with Skepta & Pop Smoke),83,12/11/20,0.124,143.896,0.158,2020
0.0442,['The Kid LAROI'],0.762,151705,0.426,1,3QCU8BT0zDS9LPVfEhRFEE,0,8,0.0858,-6.865,1,ALWAYS DO,83,11/6/20,0.113,167.827,0.582,2020
0.143,"['Ty Dolla $ign', 'Post Malone']",0.782,143375,0.51,1,5IUtvfNvOyVYZUa6AJFrnP,0,4,0.115,-5.724,0,Spicy (feat. Post Malone),83,10/23/20,0.0419,99.993,0.118,2020
0.629,"['Drake', 'Giveon']",0.735,220488,0.449,1,4wVOKKEHUJxHCFFNUWDn0B,0,10,0.113,-7.507,1,Chicago Freestyle (feat. Giveon),83,5/1/20,0.347,122.947,0.0397,2020
